date,min,max,pm25,q1,q3,stdev,count
2025-05-20T00:00:00.000Z,1.2,5.55,1.88,1.7,2.1,0.549,590
2025-05-21T00:00:00.000Z,1.3,8.55,3.42,2.6,4,1.158,590
2025-05-22T00:00:00.000Z,0.5,4.09,1,0.85,1.7,0.652,591
2025-05-23T00:00:00.000Z,0.4,1.7,0.9,0.8,1,0.193,590
2025-05-24T00:00:00.000Z,0.9,10.3,1.6,1.38,2.27,0.838,589
2025-05-25T00:00:00.000Z,2.52,12.68,5.18,4.28,6.13,1.294,589
2025-05-26T00:00:00.000Z,1.02,6.6,1.7,1.5,2.4,1.214,590
2025-05-27T00:00:00.000Z,1.3,9.68,2.78,2.2,3.2,0.928,590
2025-05-28T00:00:00.000Z,0.95,12.05,1.7,1.5,2.04,0.814,591
2025-05-29T00:00:00.000Z,0.82,10.27,1.42,1.2,1.77,1.288,591
2025-05-30T00:00:00.000Z,1.02,7.18,2.72,2.1,3.38,1.006,591
2025-05-31T00:00:00.000Z,0.63,4.13,1.39,1,2.29,0.788,592
2025-06-01T00:00:00.000Z,1.4,10.88,3.6,2.8,5.25,2.015,586
2025-06-02T00:00:00.000Z,1.17,14.9,2.47,1.76,3.45,1.126,584
2025-06-03T00:00:00.000Z,1,4.5,2,1.77,2.71,0.773,589
2025-06-04T00:00:00.000Z,1.6,8.19,3.8,2.7,5.85,1.707,587
2025-06-05T00:00:00.000Z,1.33,4.53,2.2,1.9,2.84,0.714,589
2025-06-06T00:00:00.000Z,1.05,6.75,1.8,1.5,2.63,1.32,589
2025-06-07T00:00:00.000Z,0.9,47,1.7,1.35,3.15,2.198,589
2025-06-08T00:00:00.000Z,1.1,3.95,1.92,1.6,2.4,0.585,583
2025-06-09T00:00:00.000Z,0.9,5.05,1.48,1.23,1.9,0.859,589
2025-06-10T00:00:00.000Z,3.4,16.7,11.13,7.73,13.69,3.755,589
2025-06-11T00:00:00.000Z,1.6,8.38,2.27,2.04,4.38,1.922,584
2025-06-12T00:00:00.000Z,0.9,3.95,1.48,1.3,1.7,0.372,522
2025-06-13T00:00:00.000Z,0.73,14.7,1.1,1,1.48,0.689,589
2025-06-14T00:00:00.000Z,1.1,4.18,1.92,1.65,2.6,0.667,591
2025-06-15T00:00:00.000Z,1.5,6.7,5.43,4.7,5.78,1.262,371
2025-06-16T00:00:00.000Z,1.63,7.75,3.47,2.88,3.95,0.745,451
2025-06-17T00:00:00.000Z,3.35,6.8,4.82,4.47,5.25,0.606,591
2025-06-18T00:00:00.000Z,1.3,7.9,3.22,2.17,5.13,1.907,591
2025-06-19T00:00:00.000Z,0.9,3.47,1.73,1.5,2,0.38,591
2025-06-20T00:00:00.000Z,1.45,3.72,2.29,2.08,2.54,0.398,586
2025-06-21T00:00:00.000Z,1.2,6.95,2.6,1.9,3.2,0.798,587
2025-06-22T00:00:00.000Z,1.1,5.63,3.01,2.1,3.45,1.02,592
2025-06-23T00:00:00.000Z,0.9,10.85,2.92,1.9,4.95,2.322,591
2025-06-24T00:00:00.000Z,1,3.35,1.83,1.58,2.1,0.355,591
2025-06-25T00:00:00.000Z,1.05,3.9,1.8,1.6,2.08,0.491,592
2025-06-26T00:00:00.000Z,1.2,6.07,2.52,1.8,3.1,0.98,592
2025-06-27T00:00:00.000Z,1.3,8.32,2.13,1.7,3.92,1.713,589
2025-06-28T00:00:00.000Z,2,6.68,2.95,2.7,3.72,0.879,591
2025-06-29T00:00:00.000Z,1.98,5.22,2.92,2.6,3.22,0.488,591
2025-06-30T00:00:00.000Z,1.63,4.25,2.75,2.5,3.05,0.438,419
2025-07-01T00:00:00.000Z,1.05,3.47,2.22,1.85,2.47,0.448,590
2025-07-02T00:00:00.000Z,1.2,16.77,2.63,2.16,3.2,1.044,588
2025-07-03T00:00:00.000Z,1,5.43,1.8,1.5,2.29,1.137,591
2025-07-04T00:00:00.000Z,0.9,5.63,1.45,1.3,1.85,0.615,590
2025-07-05T00:00:00.000Z,1.4,4.9,2.7,2.27,3.05,0.666,589
2025-07-06T00:00:00.000Z,1.3,8.63,3.46,2.9,4.7,1.507,536
2025-07-07T00:00:00.000Z,1,7.88,1.98,1.45,3.9,1.778,591
2025-07-08T00:00:00.000Z,0.7,13.18,1.3,1.1,1.7,0.88,591
2025-07-09T00:00:00.000Z,0.9,6.7,2.1,1.63,2.5,0.658,590
2025-07-10T00:00:00.000Z,1.52,13.07,2.4,2.08,2.9,0.781,592
2025-07-11T00:00:00.000Z,2.02,16.64,4.2,3.2,4.59,1.65,591
2025-07-12T00:00:00.000Z,1.3,6.88,3.9,2.92,4.72,1.129,591
2025-07-13T00:00:00.000Z,2.4,7.95,3.83,3.17,4.3,1.048,590
2025-07-14T00:00:00.000Z,2.08,13.75,3.5,2.97,4,1.055,590
2025-07-15T00:00:00.000Z,2,9.77,3.9,3.08,4.55,1.281,593
2025-07-16T00:00:00.000Z,1.3,7.55,2.6,1.98,3.6,1.327,592
2025-07-17T00:00:00.000Z,2.5,15.23,4.7,3.8,7.93,3.069,592
2025-07-18T00:00:00.000Z,2.52,9.77,4.22,3.35,6.28,1.925,590
2025-07-19T00:00:00.000Z,2.6,8.32,5.88,4.23,6.56,1.382,592
2025-07-20T00:00:00.000Z,3.67,6.85,5.07,4.59,5.88,0.734,585
2025-07-21T00:00:00.000Z,3.92,10.8,5.43,4.9,6.75,1.457,591
2025-07-22T00:00:00.000Z,0.7,11.85,6.18,1.73,8.4,3.424,591
2025-07-23T00:00:00.000Z,0.68,3.95,1.6,1.17,2,0.575,592
2025-07-24T00:00:00.000Z,0.75,7.45,3.42,2.29,4.3,1.515,591
2025-07-25T00:00:00.000Z,2.58,21.55,6.12,5.12,9.07,4.527,592
2025-07-26T00:00:00.000Z,1.77,10.4,6.13,3.68,6.82,2.106,592
2025-07-27T00:00:00.000Z,1.92,13.48,6,2.9,7.22,2.381,589
